"subject" "activity" "feature" "calculatedmean"
1 "LAYING" "timebodyaccelerometermean-x" 0.22159824394
1 "SITTING" "timebodyaccelerometermean-x" 0.261237565425532
1 "STANDING" "timebodyaccelerometermean-x" 0.278917629056604
1 "WALKING" "timebodyaccelerometermean-x" 0.277330758736842
1 "WALKING_DOWNSTAIRS" "timebodyaccelerometermean-x" 0.289188320408163
1 "WALKING_UPSTAIRS" "timebodyaccelerometermean-x" 0.255461689622641
2 "LAYING" "timebodyaccelerometermean-x" 0.281373403958333
2 "SITTING" "timebodyaccelerometermean-x" 0.27708735173913
2 "STANDING" "timebodyaccelerometermean-x" 0.277911472222222
2 "WALKING" "timebodyaccelerometermean-x" 0.276426586440678
2 "WALKING_DOWNSTAIRS" "timebodyaccelerometermean-x" 0.27761534806383
2 "WALKING_UPSTAIRS" "timebodyaccelerometermean-x" 0.247164790395833
3 "LAYING" "timebodyaccelerometermean-x" 0.275516852741935
3 "SITTING" "timebodyaccelerometermean-x" 0.257197599134615
3 "STANDING" "timebodyaccelerometermean-x" 0.280046513278689
3 "WALKING" "timebodyaccelerometermean-x" 0.275567462068966
3 "WALKING_DOWNSTAIRS" "timebodyaccelerometermean-x" 0.292423484693878
3 "WALKING_UPSTAIRS" "timebodyaccelerometermean-x" 0.260819873067797
4 "LAYING" "timebodyaccelerometermean-x" 0.263559214981481
4 "SITTING" "timebodyaccelerometermean-x" 0.27153827992
4 "STANDING" "timebodyaccelerometermean-x" 0.280499745892857
4 "WALKING" "timebodyaccelerometermean-x" 0.278582015166667
4 "WALKING_DOWNSTAIRS" "timebodyaccelerometermean-x" 0.279965329555556
4 "WALKING_UPSTAIRS" "timebodyaccelerometermean-x" 0.270876696730769
5 "LAYING" "timebodyaccelerometermean-x" 0.278334325576923
5 "SITTING" "timebodyaccelerometermean-x" 0.273694139545455
5 "STANDING" "timebodyaccelerometermean-x" 0.282544390892857
5 "WALKING" "timebodyaccelerometermean-x" 0.27784234625
5 "WALKING_DOWNSTAIRS" "timebodyaccelerometermean-x" 0.29354392712766
5 "WALKING_UPSTAIRS" "timebodyaccelerometermean-x" 0.268459469914894
6 "LAYING" "timebodyaccelerometermean-x" 0.248656520140351
6 "SITTING" "timebodyaccelerometermean-x" 0.276778487454545
6 "STANDING" "timebodyaccelerometermean-x" 0.280346248596491
6 "WALKING" "timebodyaccelerometermean-x" 0.283658868070175
6 "WALKING_DOWNSTAIRS" "timebodyaccelerometermean-x" 0.277045258145833
6 "WALKING_UPSTAIRS" "timebodyaccelerometermean-x" 0.268229355098039
7 "LAYING" "timebodyaccelerometermean-x" 0.250176694038462
7 "SITTING" "timebodyaccelerometermean-x" 0.284674637291667
7 "STANDING" "timebodyaccelerometermean-x" 0.282723539433962
7 "WALKING" "timebodyaccelerometermean-x" 0.275592961754386
7 "WALKING_DOWNSTAIRS" "timebodyaccelerometermean-x" 0.28030708
7 "WALKING_UPSTAIRS" "timebodyaccelerometermean-x" 0.248706923078431
8 "LAYING" "timebodyaccelerometermean-x" 0.261254282907407
8 "SITTING" "timebodyaccelerometermean-x" 0.267491472934783
8 "STANDING" "timebodyaccelerometermean-x" 0.279620986111111
8 "WALKING" "timebodyaccelerometermean-x" 0.27468631
8 "WALKING_DOWNSTAIRS" "timebodyaccelerometermean-x" 0.283484089210526
8 "WALKING_UPSTAIRS" "timebodyaccelerometermean-x" 0.258880152048781
9 "LAYING" "timebodyaccelerometermean-x" 0.2591955368
9 "SITTING" "timebodyaccelerometermean-x" 0.24832674354
9 "STANDING" "timebodyaccelerometermean-x" 0.282310057333333
9 "WALKING" "timebodyaccelerometermean-x" 0.278502842115385
9 "WALKING_DOWNSTAIRS" "timebodyaccelerometermean-x" 0.295923445
9 "WALKING_UPSTAIRS" "timebodyaccelerometermean-x" 0.262436475714286
10 "LAYING" "timebodyaccelerometermean-x" 0.280230574137931
10 "SITTING" "timebodyaccelerometermean-x" 0.270612056481481
10 "STANDING" "timebodyaccelerometermean-x" 0.276650300681818
10 "WALKING" "timebodyaccelerometermean-x" 0.278574076603774
10 "WALKING_DOWNSTAIRS" "timebodyaccelerometermean-x" 0.290401594315789
10 "WALKING_UPSTAIRS" "timebodyaccelerometermean-x" 0.267121853404255
11 "LAYING" "timebodyaccelerometermean-x" 0.280592970877193
11 "SITTING" "timebodyaccelerometermean-x" 0.276590197358491
11 "STANDING" "timebodyaccelerometermean-x" 0.277715562765957
11 "WALKING" "timebodyaccelerometermean-x" 0.271821892881356
11 "WALKING_DOWNSTAIRS" "timebodyaccelerometermean-x" 0.291605631956522
11 "WALKING_UPSTAIRS" "timebodyaccelerometermean-x" 0.263775859277778
12 "LAYING" "timebodyaccelerometermean-x" 0.260113433
12 "SITTING" "timebodyaccelerometermean-x" 0.275007224901961
12 "STANDING" "timebodyaccelerometermean-x" 0.277405834918033
12 "WALKING" "timebodyaccelerometermean-x" 0.2771286656
12 "WALKING_DOWNSTAIRS" "timebodyaccelerometermean-x" 0.281521097391304
12 "WALKING_UPSTAIRS" "timebodyaccelerometermean-x" 0.272970338653846
13 "LAYING" "timebodyaccelerometermean-x" 0.276716360483871
13 "SITTING" "timebodyaccelerometermean-x" 0.274328499591837
13 "STANDING" "timebodyaccelerometermean-x" 0.277758431052632
13 "WALKING" "timebodyaccelerometermean-x" 0.275883130350877
13 "WALKING_DOWNSTAIRS" "timebodyaccelerometermean-x" 0.294907553404255
13 "WALKING_UPSTAIRS" "timebodyaccelerometermean-x" 0.258203939581818
14 "LAYING" "timebodyaccelerometermean-x" 0.233275439803922
14 "SITTING" "timebodyaccelerometermean-x" 0.279990577037037
14 "STANDING" "timebodyaccelerometermean-x" 0.280545613833333
14 "WALKING" "timebodyaccelerometermean-x" 0.271959598644068
14 "WALKING_DOWNSTAIRS" "timebodyaccelerometermean-x" 0.293422115555556
14 "WALKING_UPSTAIRS" "timebodyaccelerometermean-x" 0.26242106612963
15 "LAYING" "timebodyaccelerometermean-x" 0.2894756525
15 "SITTING" "timebodyaccelerometermean-x" 0.27290337979661
15 "STANDING" "timebodyaccelerometermean-x" 0.278915803962264
15 "WALKING" "timebodyaccelerometermean-x" 0.273899207962963
15 "WALKING_DOWNSTAIRS" "timebodyaccelerometermean-x" 0.280198851190476
15 "WALKING_UPSTAIRS" "timebodyaccelerometermean-x" 0.270187595833333
16 "LAYING" "timebodyaccelerometermean-x" 0.274227162571429
16 "SITTING" "timebodyaccelerometermean-x" 0.280768574492754
16 "STANDING" "timebodyaccelerometermean-x" 0.283497402948718
16 "WALKING" "timebodyaccelerometermean-x" 0.276023564509804
16 "WALKING_DOWNSTAIRS" "timebodyaccelerometermean-x" 0.295586802191489
16 "WALKING_UPSTAIRS" "timebodyaccelerometermean-x" 0.255986102627451
17 "LAYING" "timebodyaccelerometermean-x" 0.269780085577465
17 "SITTING" "timebodyaccelerometermean-x" 0.2773570196875
17 "STANDING" "timebodyaccelerometermean-x" 0.277942503333333
17 "WALKING" "timebodyaccelerometermean-x" 0.272341855245902
17 "WALKING_DOWNSTAIRS" "timebodyaccelerometermean-x" 0.29391828326087
17 "WALKING_UPSTAIRS" "timebodyaccelerometermean-x" 0.252604768583333
18 "LAYING" "timebodyaccelerometermean-x" 0.274691576923077
18 "SITTING" "timebodyaccelerometermean-x" 0.27727001877193
18 "STANDING" "timebodyaccelerometermean-x" 0.278458805890411
18 "WALKING" "timebodyaccelerometermean-x" 0.273887758571429
18 "WALKING_DOWNSTAIRS" "timebodyaccelerometermean-x" 0.288439468909091
18 "WALKING_UPSTAIRS" "timebodyaccelerometermean-x" 0.265401201896552
19 "LAYING" "timebodyaccelerometermean-x" 0.272653733493976
19 "SITTING" "timebodyaccelerometermean-x" 0.273830316164384
19 "STANDING" "timebodyaccelerometermean-x" 0.27817226
19 "WALKING" "timebodyaccelerometermean-x" 0.273931172307692
19 "WALKING_DOWNSTAIRS" "timebodyaccelerometermean-x" 0.262688053871795
19 "WALKING_UPSTAIRS" "timebodyaccelerometermean-x" 0.242118808925
20 "LAYING" "timebodyaccelerometermean-x" 0.239507882205882
20 "SITTING" "timebodyaccelerometermean-x" 0.278045439090909
20 "STANDING" "timebodyaccelerometermean-x" 0.278076904657534
20 "WALKING" "timebodyaccelerometermean-x" 0.272589336470588
20 "WALKING_DOWNSTAIRS" "timebodyaccelerometermean-x" 0.296144421355556
20 "WALKING_UPSTAIRS" "timebodyaccelerometermean-x" 0.252098317156863
21 "LAYING" "timebodyaccelerometermean-x" 0.271325472455556
21 "SITTING" "timebodyaccelerometermean-x" 0.277539616823529
21 "STANDING" "timebodyaccelerometermean-x" 0.27695224258427
21 "WALKING" "timebodyaccelerometermean-x" 0.279183526730769
21 "WALKING_DOWNSTAIRS" "timebodyaccelerometermean-x" 0.3014610196
21 "WALKING_UPSTAIRS" "timebodyaccelerometermean-x" 0.265194544680851
22 "LAYING" "timebodyaccelerometermean-x" 0.279959721194444
22 "SITTING" "timebodyaccelerometermean-x" 0.273583822709677
22 "STANDING" "timebodyaccelerometermean-x" 0.279053861587302
22 "WALKING" "timebodyaccelerometermean-x" 0.27886459
22 "WALKING_DOWNSTAIRS" "timebodyaccelerometermean-x" 0.284458963861111
22 "WALKING_UPSTAIRS" "timebodyaccelerometermean-x" 0.248391534566667
23 "LAYING" "timebodyaccelerometermean-x" 0.274038007986111
23 "SITTING" "timebodyaccelerometermean-x" 0.273351251617647
23 "STANDING" "timebodyaccelerometermean-x" 0.277899323235294
23 "WALKING" "timebodyaccelerometermean-x" 0.273211884237288
23 "WALKING_DOWNSTAIRS" "timebodyaccelerometermean-x" 0.289897411148148
23 "WALKING_UPSTAIRS" "timebodyaccelerometermean-x" 0.249995171031373
24 "LAYING" "timebodyaccelerometermean-x" 0.272850494930556
24 "SITTING" "timebodyaccelerometermean-x" 0.273475690147059
24 "STANDING" "timebodyaccelerometermean-x" 0.280348883913043
24 "WALKING" "timebodyaccelerometermean-x" 0.276980816034483
24 "WALKING_DOWNSTAIRS" "timebodyaccelerometermean-x" 0.288631208909091
24 "WALKING_UPSTAIRS" "timebodyaccelerometermean-x" 0.269881106779661
25 "LAYING" "timebodyaccelerometermean-x" 0.250791828613699
25 "SITTING" "timebodyaccelerometermean-x" 0.278541482461538
25 "STANDING" "timebodyaccelerometermean-x" 0.278013701621622
25 "WALKING" "timebodyaccelerometermean-x" 0.278992759054054
25 "WALKING_DOWNSTAIRS" "timebodyaccelerometermean-x" 0.291329666206897
25 "WALKING_UPSTAIRS" "timebodyaccelerometermean-x" 0.277995411384615
26 "LAYING" "timebodyaccelerometermean-x" 0.271645864540789
26 "SITTING" "timebodyaccelerometermean-x" 0.258243530166667
26 "STANDING" "timebodyaccelerometermean-x" 0.281127035405405
26 "WALKING" "timebodyaccelerometermean-x" 0.279264443728814
26 "WALKING_DOWNSTAIRS" "timebodyaccelerometermean-x" 0.2792845828
26 "WALKING_UPSTAIRS" "timebodyaccelerometermean-x" 0.272691394545455
27 "LAYING" "timebodyaccelerometermean-x" 0.274102492432432
27 "SITTING" "timebodyaccelerometermean-x" 0.273941302571429
27 "STANDING" "timebodyaccelerometermean-x" 0.279566921625
